#authors_id	authors_name	year_of_birth	year_of_death	year	rating	votes
5470	1949	4.14	2,100,470	1054
7613	1945	3.88	2,017,670	934
5472	1950	4.26	121,633	52
26035354	1924	3.95	48,907	252
393199	1933	4.10	41,451	166
9693034	1854	3.50	42,820	781
9646	1938	4.14	26,671	151
1566053	2007	4.02	14,979	18
9650	1934	3.84	15,235	118
9648	1936	3.87	11,494	102
30553	1937	3.87	9,340	99
509080	1939	3.79	8,354	91
30557	1950	4.11	6,072	20
9644	1946	4.04	5,441	18
21926522	2014	4.16	4,955	6
319238	1935	3.45	4,006	80
9640	1954	4.30	2,970	11
6324725	1946	4.32	2,911	11
4064936	1946	3.91	2,959	12
625164	1984	4.35	1,917	16
3341119	1900	3.82	1,387	0
3339527	1941	4.25	773	6
1553589	1932	4.08	753	27
862873	1976	4.40	621	12
6733384	1946	3.77	697	7
3418535	1999	4.36	447	9
9643	1968	4.30	446	10
1235687	1941	3.94	483	16
1122769	1953	4.08	372	9
9642	1968	4.42	290	9
13367134	2009	3.81	329	14
7802296	2010	4.24	294	3
9647	1968	4.33	278	9
9248717	1947	3.98	299	2
1803144	1931	4.06	286	4
9652	1956	4.36	259	4
9651	1968	4.41	246	7
43394	2001	4.28	200	7
36076601	1940	4.13	188	4
12948173	1941	3.94	156	4
22770150	1988	4.19	145	10
147485	1963	4.26	139	2
12716	1985	4.15	114	0
1256933	2005	3.75	118	0
12162815	2006	4.22	98	0
10917102	1946	3.83	105	4
16049540	1942	3.77	101	6
8895934	2011	4.15	87	2
7367499	2010	4.24	83	7
703617	2005	3.79	75	4
30555	1980	4.50	62	10
147486	1946	3.89	70	5
22708468	2014	4.34	62	0
7616	1999	3.94	65	17
299395	2000	3.77	64	0
9868522	2014	4.55	51	11
20154645	1969	3.56	62	10
30300481	2012	4.40	48	2
199962	2001	4.31	45	2
13646454	1940	4.00	46	0
21792798	2014	4.37	41	3
20681099	1936	3.65	48	0
18971659	1949	4.25	40	0
26239941	1949	4.22	36	0
2408406	1995	4.00	37	0
1738633	1984	4.06	36	2
35651742	2011	3.84	38	3
147491	1948	4.30	33	3
269732	2002	4.61	28	0
19051101	1995	3.97	32	3
21926526	2014	4.31	29	7
11033647	1944	4.21	29	6
2034932	1966	3.59	34	0
1714235	1941	3.97	30	10
12320443	1985	4.11	28	0
6017888	1949	3.83	29	6
20681059	1931	3.79	29	0
17981597	1957	3.76	29	2
3473388	1958	4.19	26	2
17235113	2011	4.08	25	0
25557907	2014	3.88	26	5
6382271	1968	4.33	21	0
3354969	1947	3.76	21	2
625087	2001	4.33	18	3
1391951	1984	4.11	18	2
481489	2007	4.50	16	3
18274437	1946	3.78	18	0
9654491	1999	4.27	15	2
15721068	1983	4.50	14	2
23201296	2014	3.88	16	2
282147	1998	4.77	13	3
22369429	2013	4.21	14	2
115234	2005	3.87	15	5
147484	1999	4.75	12	2
1616745	1999	4.38	13	3
20877592	2013	4.00	14	0
16118542	2009	4.50	12	2
3480112	1985	3.33	15	2
10208466	1990	3.57	14	2
386370	2015	4.70	10	3
173895	1967	3.54	13	0
1035287	2002	4.30	10	0
6474040	1999	4.20	10	0
115235	1999	4.67	9	3
3053474	2007	4.10	10	2
147488	1999	4.75	8	2
18401208	1990	4.75	8	0
22724273	2012	4.50	8	0
2938710	1970	3.50	10	3
36431102	2016	4.86	7	2
3278956	2003	3.78	9	3
147479	1999	4.25	8	2
13612443	1955	3.67	9	0
20405623	2009	4.71	7	0
147478	1999	4.57	7	2
8596782	1987	3.56	9	3
19278916	2008	5.00	6	3
4266316	1975	3.62	8	2
461396	1999	4.83	6	2
11451256	1941	4.00	7	0
147475	1999	4.33	6	2
30742145	1985	3.57	7	3
6641359	1990	4.17	6	0
25375299	2014	4.00	6	0
22033436	2013	4.00	6	3
26149967	1972	3.83	6	0
30069506	1934	3.80	5	0
19259776	1949	3.00	5	0
24701522	2014	4.67	3	0
25044615	2014	4.67	3	0
15920632	2008	4.33	3	0
23939023	2014	4.33	3	2
2430869	2006	3.25	4	0
17733398	1992	3.67	3	0
34802459	1947	3.67	3	0
11366693	2001	3.67	3	0
3278952	1991	3.33	3	0
16136385	2002	5.00	2	0
20799172	1940	3.33	3	0
3601248	2009	4.50	2	0
23521176	1994	4.50	2	0
11034583	1962	3.00	3	0
11408085	1960	4.50	2	2
22111331	2014	4.00	2	2
152266	2006	2.67	3	6
25558059	2004	3.50	2	0
22403350	2013	2.33	3	0
25548069	1963	3.00	2	0
17907013	2013	3.00	2	0
147490	1998	5.00	1	0
18172423	1948	5.00	1	0
914188	1988	5.00	1	0
102103	1997	5.00	1	0
6922220	2009	5.00	1	0
26021395	1983	2.00	2	0
6091341	2008	4.00	1	0
26179639	1981	4.00	1	0
24683265	2015	3.00	1	0
35817509	1935	3.00	1	0
6983828	1998	3.00	1	0
21936711	2014	3.00	1	0
25517408	1966	3.00	1	0
12717	1949	3.00	1	2
11521521	1998	2.00	1	0
124313	1963	2.00	1	0
27114312	2014	0.00	0	0
20598288	2014	0.00	0	0
25383773	1363	0.00	0	0
20493030	1992	0.00	0	0
21653247	2012	0.00	0	0
26560802	2014	0.00	0	0
28281	1967	0.00	0	0
22924493	2011	0.00	0	0
24682846	1989	0.00	0	0
3368379	1984	0.00	0	0
26804710	1994	0.00	0	0
7030868	2010	0.00	0	0
20493012	1992	0.00	0	0
12206351	2011	0.00	0	0
